Date received,Product,Consumer complaint narrative,Company,State,Company response to consumer,Resolution_Time_Days,root_cause_category,severity_score,regulatory_risk_flag
2025-07-21,Credit card,I processed my payment with capital one on due date capital one processed payment the following day and charged me a late fee that they are unwilling to reverse,CAPITAL ONE FINANCIAL CORPORATION,CA,Closed with monetary relief,0,Billing and Payment Processing,2,True
2025-01-27,Credit card,"I asked them for help balancing my account but instead of sending me the things I need to do do successfully carry out my God given rights, they closed my account further depleting quality of life.",JPMORGAN CHASE & CO.,OR,Closed with explanation,0,Account Management,2,False
2025-07-30,Credit card,"I believe there are inaccurate late payment entries on my report. Under 15 USC 1681e ( b ) and 15 USC 1681i, my report must contain only information that is accurate, complete, and verifiable. I am requesting that these late payment entries be verified, and if they can not be confirmed, they should be corrected or removed.","EQUIFAX, INC.",WV,Closed with non-monetary relief,0,Credit Reporting Dispute,3,True
2025-01-15,Credit card,"I am reaching out to you regarding the compromise of my social security number, as I have fallen victim to Identity Theft. I have already taken the necessary steps to address this issue, including filing a complaint with the Federal Trade Commission ( complaint # attached ). 
I kindly request that","TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,Closed with non-monetary relief,0,Identity Theft,5,True
2025-07-03,Credit card,"I received call from Citibank saying I applied for credit card and had my name and social security number and I never applied for any card, so I need to know how to protect my social security number. This occurred XXXX at XXXX XXXX XXXX. They offered to transfer me to the FTC but said it would take 5 minutes and I told them it was fraud and I hung up the phone.","CITIBANK, N.A.",IL,Closed with explanation,0,Identity Theft,5,True
2025-06-10,Credit card,"I am a senior citizen and a longtime Citi credit card holder. Since XX/XX/2024, I have endured XXXX hospitalizations and ongoing medical treatment, including documented XXXX XXXX XXXX that impaired my ability to track financial decisions. During this time, my Citi card was used only for essential expenses such as groceries and medical co-pays. 

Despite my cognitive and medical hardship, I consistently paid $ XXXX toward the balance. However, over {$210.00} in interest has accrued since XXXX, severely compounding financial stress. Citi issued only a {$27.00} courtesy credit, which does not reflect the severity of his condition or payment consistency. 

We formally requested a full interest waiver or enrollment in a hardship plan and offered to provide documentation, but Citi has not provided meaningful relief. This ongoing interest accrual during medical and cognitive impairment is unacceptable and may violate the spirit of the CARD Act and elder protection standards.

We request CFPB review of this case and ask Citi to provide a fair resolution, including interest forgiveness or zero-interest repayment due to verified hardship.","CITIBANK, N.A.",CA,Closed with explanation,0,Hardship/Compassionate Relief,4,True
2025-01-22,Credit card,I no longer have this acount but khols company has not totally closed this account they are still reporting a bunch of missed payments on my credit report on a store credit card that i no longer has.,CAPITAL ONE FINANCIAL CORPORATION,VA,Closed with explanation,1,Credit Reporting Error,4,True
2025-12-30,Credit card,"Personal Credit Card Citi / AAdvantage XXXX XXXX XXXX XXXX Describe what happened : On XX/XX/XXXX, Citibank closed my personal credit card account without prior notice. The closure was effective immediately and communicated by letter dated the same day. The notice did not provide any specific reason, factual findings, or explanation for the action.

At the time of closure : The account had been open since XXXX. 

The account was in good standing with no late payments, no returned payments, no delinquencies, and no charge-offs.

There was no allegation or indication of fraud, misuse, excessive disputes, or violation of the cardmember agreement.

All required payments had been made on time, and the account was current.

No outreach, warning, request for clarification, or opportunity to address any alleged concern was provided before the account was closed. After receiving the closure notice, I took the following actions : On XX/XX/XXXX, I submitted a formal written dispute and request for reconsideration, asking Citibank to : Provide a written explanation of the specific reason for closure.

Clarify whether the decision was administrative, compliance-based, or risk-based.

Conduct a senior-level manual review with authority to reinstate the account.

I also submitted an executive escalation request seeking review by a senior risk or executive committee.

As of the date of this complaint, Citibank has not provided a substantive explanation for the closure and has not confirmed whether a manual review occurred. The account remains closed despite a long history of responsible use and compliance.

I am submitting this complaint because the account was closed without transparency, without proportional explanation, and without an opportunity to cure or respond, despite the absence of any adverse payment or usage history.","CITIBANK, N.A.",FL,Closed with explanation,0,Account Management / Adverse Action,3,True
2025-05-24,Credit card,i had asked pnc to send me by pdf tax document that showed forgiveness. no discharge of debt. i get nothing now i misplaced other i need it asap.i have explained what i need under ss ending XXXX in tax year XXXX XXXX you will find it i misplaced other please send. asap for tax prep,PNC Bank N.A.,NJ,Closed with explanation,0,Unknown,1,False
2025-09-01,Credit card,"I received an alert on my credit card about a capital one account that was past due, XXXX. I called and was told that an initial purchase was made in XXXX for XXXX and the rest were late fees. I told them I had requested a card but never received a card or statement. They requested information from me but would not verify what they had on file since I had told them I requested a card. I was requesting that they send me the information about the purchases and the statements and remove the derogatory information from my credit report. They asked a lot of information like I was opening a new account and then said they would send out another card but I was responsible for making the payments. I told them I never had a card or statement so I could not make payments. 
I also requested that the derogatory information be removed from my credit report. She said they would update all the information. Then she said she could neither confirm nor deny that they had the proper information. Then when I said she had not addressed my issue she said she was going to pass me from fraud to the account specialist to address the amount on the card. 

XXXX XXXX is the account specialist I talked with. 

I'm just asking them to provide the statement with the charges for my review and remove the derogatory information from my credit report. I never received a card or a statement. I don't understand why they only took my information but refused to provide me with any information",CAPITAL ONE FINANCIAL CORPORATION,AL,Closed with explanation,0,Identity Theft/Unauthorized Account Opening,4,True
